Code,Country,Income group,Number of Records,Year,Population,Region
KEN,Kenya,Lower middle income,1,1973,12529810,Sub-Saharan Africa
KIR,Kiribati,Lower middle income,1,1973,53605,East Asia & Pacific
PRK,North Korea,Low income,1,1973,15603001,East Asia & Pacific
KOR,South Korea,High income: OECD,1,1973,33435268,East Asia & Pacific
,United Korea (former),,1,1973,49237857,Unknown
KSV,Kosovo,Lower middle income,1,1973,1498920,Europe & Central Asia
KWT,Kuwait,High income: nonOECD,1,1973,926817,Middle East & North Africa
KGZ,Kyrgyz Republic,Lower middle income,1,1973,3169771,Europe & Central Asia
LAO,Lao,Lower middle income,1,1973,2916148,East Asia & Pacific
LVA,Latvia,High income: nonOECD,1,1973,2424149,Europe & Central Asia
LBN,Lebanon,Upper middle income,1,1973,2480426,Middle East & North Africa
LSO,Lesotho,Lower middle income,1,1973,1098033,Sub-Saharan Africa
LBR,Liberia,Low income,1,1973,1538882,Sub-Saharan Africa
LBY,Libya,Upper middle income,1,1973,2409101,Middle East & North Africa
LIE,Liechtenstein,High income: nonOECD,1,1973,22562,Europe & Central Asia
LTU,Lithuania,High income: nonOECD,1,1973,3237597,Europe & Central Asia
LUX,Luxembourg,High income: OECD,1,1973,348173,Europe & Central Asia
MAC,"Macao, China",High income: nonOECD,1,1973,252845,East Asia & Pacific
MKD,"Macedonia, FYR",Upper middle income,1,1973,1768996,Europe & Central Asia
MDG,Madagascar,Low income,1,1973,7152391,Sub-Saharan Africa
MWI,Malawi,Low income,1,1973,4996861,Sub-Saharan Africa
MYS,Malaysia,Upper middle income,1,1973,11741849,East Asia & Pacific
MDV,Maldives,Upper middle income,1,1973,127717,South Asia
MLI,Mali,Low income,1,1973,6256192,Sub-Saharan Africa
MLT,Malta,High income: nonOECD,1,1973,305398,Middle East & North Africa
MHL,Marshall Islands,Upper middle income,1,1973,23440,East Asia & Pacific
,Martinique,,1,1973,327897,Unknown
MRT,Mauritania,Lower middle income,1,1973,1253839,Sub-Saharan Africa
MUS,Mauritius,Upper middle income,1,1973,865173,Sub-Saharan Africa
,Mayotte,,1,1973,41958,Unknown
MEX,Mexico,Upper middle income,1,1973,57283361,Latin America & Caribbean
FSM,"Micronesia, Fed. Sts.",Lower middle income,1,1973,62289,East Asia & Pacific
MDA,Moldova,Lower middle income,1,1973,3747925,Europe & Central Asia
MCO,Monaco,High income: nonOECD,1,1973,24440,Europe & Central Asia
MNG,Mongolia,Upper middle income,1,1973,1397305,East Asia & Pacific
MNE,Montenegro,Upper middle income,1,1973,537764,Europe & Central Asia
,Montserrat,,1,1973,11689,Unknown
MAR,Morocco,Lower middle income,1,1973,17097003,Middle East & North Africa
MOZ,Mozambique,Low income,1,1973,9901052,Sub-Saharan Africa
MMR,Myanmar,Lower middle income,1,1973,29209686,East Asia & Pacific
NAM,Namibia,Upper middle income,1,1973,855965,Sub-Saharan Africa
,Nauru,,1,1973,6862,Unknown
NPL,Nepal,Low income,1,1973,12753028,South Asia
NLD,Netherlands,High income: OECD,1,1973,13369326,Europe & Central Asia
,Netherlands Antilles,,1,1973,163769,Unknown
NCL,New Caledonia,High income: nonOECD,1,1973,119154,East Asia & Pacific
NZL,New Zealand,High income: OECD,1,1973,2989985,East Asia & Pacific
,Ngorno-Karabakh,,1,1973,,Unknown
NIC,Nicaragua,Lower middle income,1,1973,2629503,Latin America & Caribbean
NER,Niger,Low income,1,1973,4887484,Sub-Saharan Africa
NGA,Nigeria,Lower middle income,1,1973,60285453,Sub-Saharan Africa
,Niue,,1,1973,4454,Unknown
,Norfolk Island,,1,1973,1806,Unknown
,Northern Cyprus,,1,1973,,Unknown
MNP,Northern Mariana Islands,High income: nonOECD,1,1973,14605,East Asia & Pacific
NOR,Norway,High income: OECD,1,1973,3959705,Europe & Central Asia
OMN,Oman,High income: nonOECD,1,1973,806989,Middle East & North Africa
PAK,Pakistan,Lower middle income,1,1973,63062204,South Asia
PLW,Palau,Upper middle income,1,1973,12045,East Asia & Pacific
PAN,Panama,Upper middle income,1,1973,1653257,Latin America & Caribbean
PNG,Papua New Guinea,Lower middle income,1,1973,2652586,East Asia & Pacific
PRY,Paraguay,Upper middle income,1,1973,2659084,Latin America & Caribbean
PER,Peru,Upper middle income,1,1973,14447649,Latin America & Caribbean
PHL,Philippines,Lower middle income,1,1973,39026082,East Asia & Pacific
,Pitcairn,,1,1973,77,Unknown
POL,Poland,High income: OECD,1,1973,33597810,Europe & Central Asia
PRT,Portugal,High income: OECD,1,1973,8923928,Europe & Central Asia
PRI,Puerto Rico,High income: nonOECD,1,1973,2833147,Latin America & Caribbean
QAT,Qatar,High income: nonOECD,1,1973,142111,Middle East & North Africa
,Reunion,,1,1973,478911,Unknown
ROM,Romania,Upper middle income,1,1973,21233593,Europe & Central Asia
RUS,Russia,High income: nonOECD,1,1973,132254362,Europe & Central Asia
RWA,Rwanda,Low income,1,1973,4102336,Sub-Saharan Africa
,St. Barthélemy,,1,1973,2471,Unknown
,St. Helena,,1,1973,5076,Unknown
KNA,St. Kitts and Nevis,High income: nonOECD,1,1973,44314,Latin America & Caribbean
LCA,St. Lucia,Upper middle income,1,1973,107461,Latin America & Caribbean
MAF,St. Martin,High income: nonOECD,1,1973,21417,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,Upper middle income,1,1973,93516,Latin America & Caribbean
,St.-Pierre-et-Miquelon,,1,1973,5736,Unknown
WSM,Samoa,Lower middle income,1,1973,148889,East Asia & Pacific
SMR,San Marino,High income: nonOECD,1,1973,19467,Europe & Central Asia
STP,Sao Tome and Principe,Lower middle income,1,1973,79026,Sub-Saharan Africa
SAU,Saudi Arabia,High income: nonOECD,1,1973,6697486,Middle East & North Africa
SEN,Senegal,Lower middle income,1,1973,4625377,Sub-Saharan Africa
SRB,Serbia,Upper middle income,1,1973,8337076,Europe & Central Asia
,Serbia and Montenegro,,1,1973,8921065,Unknown
,Serbia excluding Kosovo,,1,1973,7085418,Unknown
SYC,Seychelles,High income: nonOECD,1,1973,56605,Sub-Saharan Africa
SLE,Sierra Leone,Low income,1,1973,2656380,Sub-Saharan Africa
SGP,Singapore,High income: nonOECD,1,1973,2191924,East Asia & Pacific
SXM,Slovak Republic,High income: nonOECD,1,1973,4651493,Latin America & Caribbean
SVK,Slovenia,High income: OECD,1,1973,1709974,Europe & Central Asia
SVN,Solomon Islands,High income: OECD,1,1973,179354,Europe & Central Asia
SLB,Somalia,Lower middle income,1,1973,3526527,East Asia & Pacific
SOM,Somaliland,Low income,1,1973,,Sub-Saharan Africa
ZAF,South Africa,Upper middle income,1,1973,24384538,Sub-Saharan Africa
SSD,South Ossetia,Low income,1,1973,,Sub-Saharan Africa
ESP,Spain,High income: OECD,1,1973,35104633,Europe & Central Asia
LKA,Sri Lanka,Lower middle income,1,1973,13253063,South Asia
SDN,Sudan,Lower middle income,1,1973,11283574,Sub-Saharan Africa
SUR,Suriname,Upper middle income,1,1973,368342,Latin America & Caribbean
,Svalbard,,1,1973,2421,Unknown
SWZ,Swaziland,Lower middle income,1,1973,486656,Sub-Saharan Africa
SWE,Sweden,High income: OECD,1,1973,8146472,Europe & Central Asia
CHE,Switzerland,High income: OECD,1,1973,6311468,Europe & Central Asia
SYR,Syria,Lower middle income,1,1973,7066474,Middle East & North Africa
TWN,Taiwan,High income: nonOECD,1,1973,15525333,East Asia & Pacific
TJK,Tajikistan,Lower middle income,1,1973,3212446,Europe & Central Asia
TZA,Tanzania,Low income,1,1973,14984973,Sub-Saharan Africa
THA,Thailand,Upper middle income,1,1973,40164969,East Asia & Pacific
TMP,Timor-Leste,Lower middle income,1,1973,652017,East Asia & Pacific
TGO,Togo,Low income,1,1973,2303345,Sub-Saharan Africa
,Tokelau,,1,1973,1574,Unknown
TON,Tonga,Upper middle income,1,1973,86985,East Asia & Pacific
,Transnistria,,1,1973,,Unknown
TTO,Trinidad and Tobago,High income: nonOECD,1,1973,982594,Latin America & Caribbean
TUN,Tunisia,Upper middle income,1,1973,5405354,Middle East & North Africa
TUR,Turkey,Upper middle income,1,1973,37366922,Europe & Central Asia
TKM,Turkmenistan,Upper middle income,1,1973,2385039,Europe & Central Asia
TCA,Turks and Caicos Islands,High income: nonOECD,1,1973,6132,Latin America & Caribbean
TUV,Tuvalu,Upper middle income,1,1973,7538,East Asia & Pacific
UGA,Uganda,Low income,1,1973,10256342,Sub-Saharan Africa
UKR,Ukraine,Lower middle income,1,1973,48127170,Europe & Central Asia
ARE,United Arab Emirates,High income: nonOECD,1,1973,382823,Middle East & North Africa
GBR,United Kingdom,High income: OECD,1,1973,56039166,Europe & Central Asia
USA,United States,High income: OECD,1,1973,215092900,North America
URY,Uruguay,High income: nonOECD,1,1973,2822084,Latin America & Caribbean
,USSR,,1,1973,249722104,Unknown
UZB,Uzbekistan,Lower middle income,1,1973,13170848,Europe & Central Asia
,Wallis et Futuna,,1,1973,8809,Unknown
VUT,Vanuatu,Lower middle income,1,1973,93761,East Asia & Pacific
VEN,Venezuela,High income: nonOECD,1,1973,12636971,Latin America & Caribbean
,West Bank and Gaza,,1,1973,,Unknown
,West Germany,,1,1973,61808548,Unknown
,Western Sahara,,1,1973,70407,Unknown
VNM,Vietnam,Lower middle income,1,1973,1227160,East Asia & Pacific
VIR,Virgin Islands (U.S.),High income: nonOECD,1,1973,77310,Latin America & Caribbean
WBG,North Yemen (former),Lower middle income,1,1973,5161012,Middle East & North Africa
,South Yemen (former),,1,1973,1609417,Unknown
YEM,Yemen,Lower middle income,1,1973,6487853,Middle East & North Africa
,Yugoslavia,,1,1973,20371551,Unknown
ZMB,Zambia,Lower middle income,1,1973,4644329,Sub-Saharan Africa
ZWE,Zimbabwe,Low income,1,1973,5768382,Sub-Saharan Africa
,Åland,,1,1973,21280,Unknown
,South Sudan,,1,1973,3917450,Unknown
,Curaçao,,1,1973,148619,Unknown
,Sint Maarten (Dutch part),,1,1973,8428,Unknown
,St. Martin (French part),,1,1973,,Unknown
,Antarctica,,1,1973,,Unknown
,Bouvet Island,,1,1973,,Unknown
,British Indian Ocean Territory,,1,1973,,Unknown
,Clipperton,,1,1973,,Unknown
,French Southern and Antarctic Lands,,1,1973,,Unknown
,Gaza Strip,,1,1973,,Unknown
,Heard and McDonald Islands,,1,1973,,Unknown
,Northern Marianas,,1,1973,,Unknown
,South Georgia and the South Sandwich Islands,,1,1973,,Unknown
,US Minor Outlying Islands,,1,1973,,Unknown
,Virgin Islands,,1,1973,,Unknown
,West Bank,,1,1973,,Unknown
,Abkhazia,,1,1974,,Unknown
AFG,Afghanistan,Low income,1,1974,12315553,South Asia
,Akrotiri and Dhekelia,,1,1974,12623,Unknown
ALB,Albania,Upper middle income,1,1974,2358467,Europe & Central Asia
DZA,Algeria,Upper middle income,1,1974,16247113,Middle East & North Africa
ASM,American Samoa,Upper middle income,1,1974,29491,East Asia & Pacific
ADO,Andorra,High income: nonOECD,1,1974,29514,Europe & Central Asia
AGO,Angola,Upper middle income,1,1974,6923749,Sub-Saharan Africa
,Anguilla,,1,1974,6596,Unknown
ATG,Antigua and Barbuda,High income: nonOECD,1,1974,68655,Latin America & Caribbean
ARG,Argentina,High income: nonOECD,1,1974,25644505,Latin America & Caribbean
ARM,Armenia,Lower middle income,1,1974,2766495,Europe & Central Asia
ABW,Aruba,High income: nonOECD,1,1974,60525,Latin America & Caribbean
AUS,Australia,High income: OECD,1,1974,13725400,East Asia & Pacific
AUT,Austria,High income: OECD,1,1974,7617432,Europe & Central Asia
AZE,Azerbaijan,Upper middle income,1,1974,5596160,Europe & Central Asia
BHS,Bahamas,High income: nonOECD,1,1974,185097,Latin America & Caribbean
BHR,Bahrain,High income: nonOECD,1,1974,252139,Middle East & North Africa
BGD,Bangladesh,Lower middle income,1,1974,69837960,South Asia
BRB,Barbados,High income: nonOECD,1,1974,244539,Latin America & Caribbean
BLR,Belarus,Upper middle income,1,1974,9306472,Europe & Central Asia
BEL,Belgium,High income: OECD,1,1974,9751592,Europe & Central Asia
BLZ,Belize,Upper middle income,1,1974,131306,Latin America & Caribbean
BEN,Benin,Low income,1,1974,3184547,Sub-Saharan Africa
BMU,Bermuda,High income: nonOECD,1,1974,54507,North America
BTN,Bhutan,Lower middle income,1,1974,336677,South Asia
BOL,Bolivia,Lower middle income,1,1974,4902173,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,1,1974,3930283,Europe & Central Asia
BWA,Botswana,Upper middle income,1,1974,792513,Sub-Saharan Africa
BRA,Brazil,Upper middle income,1,1974,105846274,Latin America & Caribbean
,British Virgin Islands,,1,1974,10380,Unknown
BRN,Brunei,High income: nonOECD,1,1974,154395,East Asia & Pacific
BGR,Bulgaria,Upper middle income,1,1974,8688112,Europe & Central Asia
BFA,Burkina Faso,Low income,1,1974,6040044,Sub-Saharan Africa
BDI,Burundi,Low income,1,1974,3623853,Sub-Saharan Africa
KHM,Cambodia,Low income,1,1974,7561583,East Asia & Pacific
CMR,Cameroon,Lower middle income,1,1974,7529704,Sub-Saharan Africa
CAN,Canada,High income: OECD,1,1974,22823272,North America
CPV,Cape Verde,Lower middle income,1,1974,272509,Sub-Saharan Africa
CYM,Cayman Islands,High income: nonOECD,1,1974,11494,Latin America & Caribbean
CAF,Central African Republic,Low income,1,1974,1975968,Sub-Saharan Africa
TCD,Chad,Low income,1,1974,4000511,Sub-Saharan Africa
CHI,Channel Islands,High income: nonOECD,1,1974,125680,Europe & Central Asia
CHL,Chile,High income: OECD,1,1974,10255074,Latin America & Caribbean
CHN,China,Upper middle income,1,1974,888132761,East Asia & Pacific
,Christmas Island,,1,1974,1200,Unknown
,Cocos Island,,1,1974,448,Unknown
COL,Colombia,Upper middle income,1,1974,24208022,Latin America & Caribbean
COM,Comoros,Low income,1,1974,248921,Sub-Saharan Africa
ZAR,"Congo, Dem. Rep.",Low income,1,1974,22282079,Sub-Saharan Africa
COG,"Congo, Rep.",Lower middle income,1,1974,1509880,Sub-Saharan Africa
,Cook Is,,1,1974,20808,Unknown
CRI,Costa Rica,Upper middle income,1,1974,2045580,Latin America & Caribbean
CIV,Cote d'Ivoire,Lower middle income,1,1974,6307936,Sub-Saharan Africa
HRV,Croatia,High income: nonOECD,1,1974,4484521,Europe & Central Asia
CUB,Cuba,Upper middle income,1,1974,9315371,Latin America & Caribbean
CYP,Cyprus,High income: nonOECD,1,1974,642335,Europe & Central Asia
CZE,Czech Republic,High income: OECD,1,1974,9996356,Europe & Central Asia
,Czechoslovakia,,1,1974,14659627,Unknown
DNK,Denmark,High income: OECD,1,1974,5039920,Europe & Central Asia
DJI,Djibouti,Lower middle income,1,1974,205157,Middle East & North Africa
DMA,Dominica,Upper middle income,1,1974,71811,Latin America & Caribbean
DOM,Dominican Republic,Upper middle income,1,1974,5019471,Latin America & Caribbean
,East Germany,,1,1974,16843194,Unknown
ECU,Ecuador,Upper middle income,1,1974,6798205,Latin America & Caribbean
EGY,Egypt,Lower middle income,1,1974,37815578,Middle East & North Africa
SLV,El Salvador,Lower middle income,1,1974,4053958,Latin America & Caribbean
GNQ,Equatorial Guinea,High income: nonOECD,1,1974,249587,Sub-Saharan Africa
ERI,Eritrea,Low income,1,1974,2013382,Sub-Saharan Africa
,Eritrea and Ethiopia,,1,1974,34587598,Unknown
EST,Estonia,High income: OECD,1,1974,1410492,Europe & Central Asia
ETH,Ethiopia,Low income,1,1974,31855294,Sub-Saharan Africa
FRO,Faeroe Islands,High income: nonOECD,1,1974,40116,Europe & Central Asia
,Falkland Is (Malvinas),,1,1974,1932,Unknown
FJI,Fiji,Upper middle income,1,1974,565386,East Asia & Pacific
FIN,Finland,High income: OECD,1,1974,4691818,Europe & Central Asia
FRA,France,High income: OECD,1,1974,52647616,Europe & Central Asia
,French Guiana,,1,1974,54520,Unknown
PYF,French Polynesia,High income: nonOECD,1,1974,126483,East Asia & Pacific
GAB,Gabon,Upper middle income,1,1974,636702,Sub-Saharan Africa
GMB,Gambia,Low income,1,1974,505512,Sub-Saharan Africa
GEO,Georgia,Lower middle income,1,1974,4871634,Europe & Central Asia
DEU,Germany,High income: OECD,1,1974,78713928,Europe & Central Asia
GHA,Ghana,Lower middle income,1,1974,9604280,Sub-Saharan Africa
,Gibraltar,,1,1974,25266,Unknown
GRC,Greece,High income: OECD,1,1974,8952862,Europe & Central Asia
GRL,Greenland,High income: nonOECD,1,1974,49231,Europe & Central Asia
GRD,Grenada,Upper middle income,1,1974,93151,Latin America & Caribbean
,Guadeloupe,,1,1974,326784,Unknown
GUM,Guam,High income: nonOECD,1,1974,91381,East Asia & Pacific
GTM,Guatemala,Lower middle income,1,1974,6069077,Latin America & Caribbean
,Guernsey,,1,1974,53780,Unknown
GIN,Guinea,Low income,1,1974,4340748,Sub-Saharan Africa
GNB,Guinea-Bissau,Low income,1,1974,764974,Sub-Saharan Africa
GUY,Guyana,Lower middle income,1,1974,730227,Latin America & Caribbean
HTI,Haiti,Low income,1,1974,5047948,Latin America & Caribbean
,Holy See,,1,1974,711,Unknown
HND,Honduras,Lower middle income,1,1974,3015606,Latin America & Caribbean
HKG,"Hong Kong, China",High income: nonOECD,1,1974,4243512,East Asia & Pacific
HUN,Hungary,High income: OECD,1,1974,10495442,Europe & Central Asia
ISL,Iceland,High income: OECD,1,1974,215465,Europe & Central Asia
IND,India,Lower middle income,1,1974,607446519,South Asia
IDN,Indonesia,Lower middle income,1,1974,127465232,East Asia & Pacific
IRN,Iran,Upper middle income,1,1974,31784896,Middle East & North Africa
IRQ,Iraq,Upper middle income,1,1974,11312304,Middle East & North Africa
IRL,Ireland,High income: OECD,1,1974,3128000,Europe & Central Asia
IMY,Isle of Man,High income: nonOECD,1,1974,60098,Europe & Central Asia
ISR,Israel,High income: OECD,1,1974,3239561,Middle East & North Africa
ITA,Italy,High income: OECD,1,1974,54961926,Europe & Central Asia
JAM,Jamaica,Upper middle income,1,1974,1989880,Latin America & Caribbean
JPN,Japan,High income: OECD,1,1974,109495053,East Asia & Pacific
,Jersey,,1,1974,71646,Unknown
JOR,Jordan,Upper middle income,1,1974,1929939,Middle East & North Africa
KAZ,Kazakhstan,Upper middle income,1,1974,13950987,Europe & Central Asia
KEN,Kenya,Lower middle income,1,1974,12997447,Sub-Saharan Africa
KIR,Kiribati,Lower middle income,1,1974,54382,East Asia & Pacific
PRK,North Korea,Low income,1,1974,15960127,East Asia & Pacific
KOR,South Korea,High income: OECD,1,1974,34091816,East Asia & Pacific
,United Korea (former),,1,1974,50169880,Unknown
KSV,Kosovo,Lower middle income,1,1974,1512546,Europe & Central Asia
KWT,Kuwait,High income: nonOECD,1,1974,988267,Middle East & North Africa
KGZ,Kyrgyz Republic,Lower middle income,1,1974,3234611,Europe & Central Asia
LAO,Lao,Lower middle income,1,1974,2987544,East Asia & Pacific
LVA,Latvia,High income: nonOECD,1,1974,2441588,Europe & Central Asia
LBN,Lebanon,Upper middle income,1,1974,2535503,Middle East & North Africa
LSO,Lesotho,Lower middle income,1,1974,1122484,Sub-Saharan Africa
LBR,Liberia,Low income,1,1974,1582584,Sub-Saharan Africa
LBY,Libya,Upper middle income,1,1974,2514373,Middle East & North Africa
LIE,Liechtenstein,High income: nonOECD,1,1974,22984,Europe & Central Asia
LTU,Lithuania,High income: nonOECD,1,1974,3269546,Europe & Central Asia
LUX,Luxembourg,High income: OECD,1,1974,351190,Europe & Central Asia
MAC,"Macao, China",High income: nonOECD,1,1974,250550,East Asia & Pacific
MKD,"Macedonia, FYR",Upper middle income,1,1974,1784395,Europe & Central Asia
MDG,Madagascar,Low income,1,1974,7360271,Sub-Saharan Africa
MWI,Malawi,Low income,1,1974,5141138,Sub-Saharan Africa
MYS,Malaysia,Upper middle income,1,1974,12025930,East Asia & Pacific
MDV,Maldives,Upper middle income,1,1974,132122,South Asia
MLI,Mali,Low income,1,1974,6368351,Sub-Saharan Africa
MLT,Malta,High income: nonOECD,1,1974,306291,Middle East & North Africa
MHL,Marshall Islands,Upper middle income,1,1974,24536,East Asia & Pacific
,Martinique,,1,1974,328073,Unknown
MRT,Mauritania,Lower middle income,1,1974,1290755,Sub-Saharan Africa
MUS,Mauritius,Upper middle income,1,1974,878355,Sub-Saharan Africa
,Mayotte,,1,1974,43734,Unknown
MEX,Mexico,Upper middle income,1,1974,59090495,Latin America & Caribbean
FSM,"Micronesia, Fed. Sts.",Lower middle income,1,1974,62477,East Asia & Pacific
MDA,Moldova,Lower middle income,1,1974,3795653,Europe & Central Asia
MCO,Monaco,High income: nonOECD,1,1974,24835,Europe & Central Asia
MNG,Mongolia,Upper middle income,1,1974,1438423,East Asia & Pacific
MNE,Montenegro,Upper middle income,1,1974,546569,Europe & Central Asia
,Montserrat,,1,1974,11733,Unknown
MAR,Morocco,Lower middle income,1,1974,17466606,Middle East & North Africa
MOZ,Mozambique,Low income,1,1974,10141147,Sub-Saharan Africa
MMR,Myanmar,Lower middle income,1,1974,29916827,East Asia & Pacific
NAM,Namibia,Upper middle income,1,1974,881530,Sub-Saharan Africa
,Nauru,,1,1974,6972,Unknown
NPL,Nepal,Low income,1,1974,13028248,South Asia
NLD,Netherlands,High income: OECD,1,1974,13493460,Europe & Central Asia
,Netherlands Antilles,,1,1974,165022,Unknown
NCL,New Caledonia,High income: nonOECD,1,1974,123976,East Asia & Pacific
NZL,New Zealand,High income: OECD,1,1974,3042573,East Asia & Pacific
,Ngorno-Karabakh,,1,1974,,Unknown
NIC,Nicaragua,Lower middle income,1,1974,2711847,Latin America & Caribbean
NER,Niger,Low income,1,1974,5026744,Sub-Saharan Africa
NGA,Nigeria,Lower middle income,1,1974,61857023,Sub-Saharan Africa
,Niue,,1,1974,4191,Unknown
,Norfolk Island,,1,1974,1812,Unknown
,Northern Cyprus,,1,1974,,Unknown
MNP,Northern Mariana Islands,High income: nonOECD,1,1974,14978,East Asia & Pacific
NOR,Norway,High income: OECD,1,1974,3984291,Europe & Central Asia
OMN,Oman,High income: nonOECD,1,1974,841947,Middle East & North Africa
PAK,Pakistan,Lower middle income,1,1974,64873705,South Asia
PLW,Palau,Upper middle income,1,1974,12195,East Asia & Pacific
PAN,Panama,Upper middle income,1,1974,1699114,Latin America & Caribbean
PNG,Papua New Guinea,Lower middle income,1,1974,2730859,East Asia & Pacific
PRY,Paraguay,Upper middle income,1,1974,2723523,Latin America & Caribbean
PER,Peru,Upper middle income,1,1974,14832839,Latin America & Caribbean
PHL,Philippines,Lower middle income,1,1974,40149959,East Asia & Pacific
,Pitcairn,,1,1974,73,Unknown
POL,Poland,High income: OECD,1,1974,33877397,Europe & Central Asia
PRT,Portugal,High income: OECD,1,1974,9054924,Europe & Central Asia
PRI,Puerto Rico,High income: nonOECD,1,1974,2881783,Latin America & Caribbean
QAT,Qatar,High income: nonOECD,1,1974,153593,Middle East & North Africa
,Reunion,,1,1974,481689,Unknown
ROM,Romania,Upper middle income,1,1974,21451256,Europe & Central Asia
RUS,Russia,High income: nonOECD,1,1974,133012558,Europe & Central Asia
RWA,Rwanda,Low income,1,1974,4226836,Sub-Saharan Africa
,St. Barthélemy,,1,1974,2506,Unknown
,St. Helena,,1,1974,5131,Unknown
KNA,St. Kitts and Nevis,High income: nonOECD,1,1974,44327,Latin America & Caribbean
LCA,St. Lucia,Upper middle income,1,1974,108534,Latin America & Caribbean
MAF,St. Martin,High income: nonOECD,1,1974,21611,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,Upper middle income,1,1974,94572,Latin America & Caribbean
,St.-Pierre-et-Miquelon,,1,1974,5817,Unknown
WSM,Samoa,Lower middle income,1,1974,150219,East Asia & Pacific
SMR,San Marino,High income: nonOECD,1,1974,19565,Europe & Central Asia
STP,Sao Tome and Principe,Lower middle income,1,1974,80670,Sub-Saharan Africa
SAU,Saudi Arabia,High income: nonOECD,1,1974,7045477,Middle East & North Africa
SEN,Senegal,Lower middle income,1,1974,4764623,Sub-Saharan Africa
SRB,Serbia,Upper middle income,1,1974,8416250,Europe & Central Asia
,Serbia and Montenegro,,1,1974,9004410,Unknown
,Serbia excluding Kosovo,,1,1974,7149830,Unknown
SYC,Seychelles,High income: nonOECD,1,1974,58102,Sub-Saharan Africa
SLE,Sierra Leone,Low income,1,1974,2709797,Sub-Saharan Africa
SGP,Singapore,High income: nonOECD,1,1974,2228896,East Asia & Pacific
SXM,Slovak Republic,High income: nonOECD,1,1974,4697153,Latin America & Caribbean
SVK,Slovenia,High income: OECD,1,1974,1725967,Europe & Central Asia
SVN,Solomon Islands,High income: OECD,1,1974,186338,Europe & Central Asia
SLB,Somalia,Lower middle income,1,1974,3644572,East Asia & Pacific
SOM,Somaliland,Low income,1,1974,,Sub-Saharan Africa
ZAF,South Africa,Upper middle income,1,1974,25040940,Sub-Saharan Africa
SSD,South Ossetia,Low income,1,1974,,Sub-Saharan Africa
ESP,Spain,High income: OECD,1,1974,35509391,Europe & Central Asia
LKA,Sri Lanka,Lower middle income,1,1974,13502870,South Asia
SDN,Sudan,Lower middle income,1,1974,11668674,Sub-Saharan Africa
SUR,Suriname,Upper middle income,1,1974,365104,Latin America & Caribbean
,Svalbard,,1,1974,2476,Unknown
SWZ,Swaziland,Lower middle income,1,1974,501596,Sub-Saharan Africa
SWE,Sweden,High income: OECD,1,1974,8169141,Europe & Central Asia
CHE,Switzerland,High income: OECD,1,1974,6341051,Europe & Central Asia
SYR,Syria,Lower middle income,1,1974,7311685,Middle East & North Africa
TWN,Taiwan,High income: nonOECD,1,1974,15824000,East Asia & Pacific
TJK,Tajikistan,Lower middle income,1,1974,3313144,Europe & Central Asia
TZA,Tanzania,Low income,1,1974,15477155,Sub-Saharan Africa
THA,Thailand,Upper middle income,1,1974,41259539,East Asia & Pacific
TMP,Timor-Leste,Lower middle income,1,1974,661528,East Asia & Pacific
TGO,Togo,Low income,1,1974,2356623,Sub-Saharan Africa
,Tokelau,,1,1974,1576,Unknown
TON,Tonga,Upper middle income,1,1974,87609,East Asia & Pacific
,Transnistria,,1,1974,,Unknown
TTO,Trinidad and Tobago,High income: nonOECD,1,1974,997052,Latin America & Caribbean
TUN,Tunisia,Upper middle income,1,1974,5526768,Middle East & North Africa
TUR,Turkey,Upper middle income,1,1974,38272701,Europe & Central Asia
TKM,Turkmenistan,Upper middle income,1,1974,2452528,Europe & Central Asia
TCA,Turks and Caicos Islands,High income: nonOECD,1,1974,6346,Latin America & Caribbean
TUV,Tuvalu,Upper middle income,1,1974,7613,East Asia & Pacific
UGA,Uganda,Low income,1,1974,10533627,Sub-Saharan Africa
UKR,Ukraine,Lower middle income,1,1974,48455120,Europe & Central Asia
ARE,United Arab Emirates,High income: nonOECD,1,1974,451948,Middle East & North Africa
GBR,United Kingdom,High income: OECD,1,1974,56122405,Europe & Central Asia
USA,United States,High income: OECD,1,1974,217001865,North America
URY,Uruguay,High income: nonOECD,1,1974,2824069,Latin America & Caribbean
,USSR,,1,1974,252113903,Unknown
UZB,Uzbekistan,Lower middle income,1,1974,13578783,Europe & Central Asia
,Wallis et Futuna,,1,1974,8919,Unknown
VUT,Vanuatu,Lower middle income,1,1974,96793,East Asia & Pacific
VEN,Venezuela,High income: nonOECD,1,1974,12994025,Latin America & Caribbean
,West Bank and Gaza,,1,1974,,Unknown
,West Germany,,1,1974,62050486,Unknown
,Western Sahara,,1,1974,70210,Unknown
VNM,Vietnam,Lower middle income,1,1974,1276368,East Asia & Pacific
VIR,Virgin Islands (U.S.),High income: nonOECD,1,1974,81802,Latin America & Caribbean
WBG,North Yemen (former),Lower middle income,1,1974,5280986,Middle East & North Africa
,South Yemen (former),,1,1974,1643250,Unknown
YEM,Yemen,Lower middle income,1,1974,6626208,Middle East & North Africa
,Yugoslavia,,1,1974,20549722,Unknown
ZMB,Zambia,Lower middle income,1,1974,4810810,Sub-Saharan Africa
ZWE,Zimbabwe,Low income,1,1974,5967861,Sub-Saharan Africa
