Gender,Number of Records,Occurences,State,Top Name,Year
Male,1,509,AR,Christopher,1988
Male,1,500,AR,Christopher,1989
Male,1,505,AR,Christopher,1990
Male,1,436,AR,Christopher,1991
Male,1,375,AR,Christopher,1992
Male,1,354,AR,Christopher,1993
Male,1,320,AR,Michael,1994
Male,1,313,AR,Tyler,1995
Male,1,325,AR,Jacob,1996
Male,1,374,AR,Jacob,1997
Male,1,372,AR,Jacob,1998
Male,1,339,AR,Jacob,1999
Male,1,378,AR,Jacob,2000
Male,1,327,AR,Jacob,2001
Male,1,327,AR,Jacob,2002
Male,1,286,AR,Jacob,2003
Male,1,258,AR,Jacob,2004
Male,1,257,AR,Ethan,2005
Male,1,263,AR,William,2006
Male,1,270,AR,William,2007
Male,1,205,AR,Jacob,2008
Male,1,220,AR,William,2009
Male,1,195,AR,William,2010
Male,1,215,AR,William,2011
Male,1,215,AR,William,2012
Female,1,74,AZ,Mary,1910
Female,1,67,AZ,Mary,1911
Female,1,100,AZ,Mary,1912
Female,1,103,AZ,Mary,1913
Female,1,133,AZ,Mary,1914
Female,1,158,AZ,Mary,1915
Female,1,191,AZ,Mary,1916
Female,1,218,AZ,Mary,1917
Female,1,272,AZ,Mary,1918
Female,1,291,AZ,Mary,1919
Female,1,279,AZ,Mary,1920
Female,1,266,AZ,Mary,1921
Female,1,252,AZ,Mary,1922
Female,1,272,AZ,Mary,1923
Female,1,281,AZ,Mary,1924
Female,1,293,AZ,Mary,1925
Female,1,301,AZ,Mary,1926
Female,1,310,AZ,Mary,1927
Female,1,283,AZ,Mary,1928
Female,1,303,AZ,Mary,1929
Female,1,286,AZ,Mary,1930
Female,1,297,AZ,Mary,1931
Female,1,288,AZ,Mary,1932
Female,1,265,AZ,Mary,1933
Female,1,287,AZ,Mary,1934
Female,1,310,AZ,Mary,1935
Female,1,297,AZ,Mary,1936
Female,1,354,AZ,Mary,1937
Female,1,334,AZ,Mary,1938
Female,1,347,AZ,Mary,1939
Female,1,319,AZ,Mary,1940
Female,1,349,AZ,Mary,1941
Female,1,353,AZ,Mary,1942
Female,1,431,AZ,Mary,1943
Female,1,383,AZ,Mary,1944
Female,1,365,AZ,Mary,1945
Female,1,385,AZ,Mary,1946
Female,1,456,AZ,Linda,1947
Female,1,483,AZ,Linda,1948
Female,1,441,AZ,Linda,1949
Female,1,415,AZ,Mary,1950
Female,1,437,AZ,Mary,1951
Female,1,471,AZ,Mary,1952
Female,1,492,AZ,Mary,1953
Female,1,466,AZ,Mary,1954
Female,1,492,AZ,Mary,1955
Female,1,449,AZ,Mary,1956
Female,1,475,AZ,Mary,1957
Female,1,458,AZ,Mary,1958
Female,1,421,AZ,Mary,1959
Female,1,409,AZ,Mary,1960
Female,1,378,AZ,Mary,1961
Female,1,360,AZ,Mary,1962
Female,1,383,AZ,Lisa,1963
Female,1,368,AZ,Mary,1964
Female,1,399,AZ,Lisa,1965
Female,1,386,AZ,Lisa,1966
Female,1,351,AZ,Lisa,1967
Female,1,343,AZ,Michelle,1968
Female,1,353,AZ,Lisa,1969
Female,1,374,AZ,Jennifer,1970
Female,1,508,AZ,Jennifer,1971
Female,1,608,AZ,Jennifer,1972
Female,1,601,AZ,Jennifer,1973
Female,1,641,AZ,Jennifer,1974
Female,1,633,AZ,Jennifer,1975
Female,1,632,AZ,Jennifer,1976
Female,1,660,AZ,Jennifer,1977
Female,1,612,AZ,Jennifer,1978
Female,1,643,AZ,Jennifer,1979
Female,1,748,AZ,Jennifer,1980
Female,1,713,AZ,Jennifer,1981
Female,1,652,AZ,Jennifer,1982
Female,1,724,AZ,Jennifer,1983
Female,1,671,AZ,Jennifer,1984
Female,1,700,AZ,Jessica,1985
Female,1,736,AZ,Jessica,1986
Female,1,875,AZ,Jessica,1987
Female,1,790,AZ,Jessica,1988
Female,1,775,AZ,Jessica,1989
Female,1,743,AZ,Jessica,1990
Female,1,665,AZ,Ashley,1991
Female,1,663,AZ,Jessica,1992
Female,1,642,AZ,Jessica,1993
Female,1,595,AZ,Jessica,1994
Female,1,542,AZ,Jessica,1995
Female,1,446,AZ,Jessica,1996
Female,1,388,AZ,Jessica,1997
Female,1,408,AZ,Alexis,1998
Female,1,417,AZ,Samantha,1999
Female,1,408,AZ,Emily,2000
Female,1,377,AZ,Ashley,2001
Female,1,404,AZ,Emily,2002
Female,1,432,AZ,Emily,2003
Female,1,445,AZ,Emily,2004
Female,1,508,AZ,Emily,2005
Female,1,505,AZ,Mia,2006
Female,1,452,AZ,Isabella,2007
Female,1,465,AZ,Isabella,2008
Female,1,540,AZ,Isabella,2009
Female,1,553,AZ,Isabella,2010
Female,1,556,AZ,Sophia,2011
Female,1,579,AZ,Sophia,2012
Male,1,39,AZ,John,1910
Male,1,34,AZ,John,1911
Male,1,73,AZ,John,1912
Male,1,64,AZ,John,1913
Male,1,73,AZ,William,1914
Male,1,112,AZ,John,1915
Male,1,109,AZ,John,1916
Male,1,131,AZ,John,1917
Male,1,151,AZ,John,1918
Male,1,135,AZ,John,1919
Male,1,172,AZ,John,1920
Male,1,149,AZ,John,1921
Male,1,165,AZ,John,1922
Male,1,159,AZ,John,1923
Male,1,171,AZ,John,1924
Male,1,177,AZ,John,1925
Male,1,154,AZ,Robert,1926
Male,1,198,AZ,John,1927
Male,1,176,AZ,John,1928
Male,1,192,AZ,Robert,1929
Male,1,194,AZ,Robert,1930
Male,1,205,AZ,Robert,1931
Male,1,165,AZ,Robert,1932
Male,1,146,AZ,Robert,1933
Male,1,159,AZ,Robert,1934
Male,1,167,AZ,Robert,1935
Male,1,198,AZ,Robert,1936
Male,1,198,AZ,Robert,1937
Male,1,232,AZ,Robert,1938
Male,1,214,AZ,Robert,1939
Male,1,242,AZ,Robert,1940
Male,1,264,AZ,Robert,1941
Male,1,275,AZ,Robert,1942
Male,1,312,AZ,Robert,1943
Male,1,328,AZ,Robert,1944
Male,1,315,AZ,Robert,1945
Male,1,370,AZ,Robert,1946
Male,1,415,AZ,Robert,1947
Male,1,422,AZ,Robert,1948
Male,1,430,AZ,John,1949
Male,1,417,AZ,Robert,1950
Male,1,470,AZ,Robert,1951
Male,1,522,AZ,Robert,1952
Male,1,543,AZ,David,1953
Male,1,584,AZ,Robert,1954
Male,1,610,AZ,David,1955
Male,1,612,AZ,David,1956
Male,1,654,AZ,David,1957
Male,1,608,AZ,Robert,1958
Male,1,636,AZ,David,1959
Male,1,711,AZ,David,1960
Male,1,712,AZ,David,1961
Male,1,707,AZ,David,1962
Male,1,682,AZ,David,1963
Male,1,620,AZ,David,1964
Male,1,600,AZ,Michael,1965
Male,1,552,AZ,David,1966
Male,1,630,AZ,Michael,1967
Male,1,617,AZ,Michael,1968
Male,1,727,AZ,Michael,1969
Male,1,756,AZ,Michael,1970
Male,1,760,AZ,Michael,1971
Male,1,799,AZ,Michael,1972
Male,1,751,AZ,Michael,1973
Male,1,807,AZ,Michael,1974
Male,1,716,AZ,Michael,1975
Male,1,766,AZ,Michael,1976
Male,1,715,AZ,Michael,1977
Male,1,827,AZ,Michael,1978
Male,1,857,AZ,Michael,1979
Male,1,944,AZ,Michael,1980
Male,1,954,AZ,Michael,1981
Male,1,922,AZ,Michael,1982
Male,1,985,AZ,Michael,1983
Male,1,1044,AZ,Michael,1984
Male,1,977,AZ,Michael,1985
Male,1,992,AZ,Michael,1986
Male,1,944,AZ,Michael,1987
Male,1,1021,AZ,Michael,1988
Male,1,1038,AZ,Michael,1989
Male,1,1011,AZ,Michael,1990
Male,1,894,AZ,Michael,1991
Male,1,847,AZ,Michael,1992
Male,1,736,AZ,Michael,1993
Male,1,689,AZ,Michael,1994
